sentence,tokens,tags,tag_ids,true_idioms,language
"Wie der Name deutlich macht, werden marktbasierte Klimaschutzinstrumente hier keine Rolle spielen.","[""Wie "", ""der "", ""Name "", ""deutlich "", ""macht"", "", "", ""werden "", ""marktbasierte "", ""Klimaschutzinstrumente "", ""hier "", ""keine "", ""Rolle "", ""spielen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""keine Rolle spielen""]",german
Der gute Ruf von Volkswagen stand in Afrika auf dem Spiel.,"[""Der "", ""gute "", ""Ruf "", ""von "", ""Volkswagen "", ""stand "", ""in "", ""Afrika "", ""auf "", ""dem "", ""Spiel"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""auf dem Spiel""]",german
Infolgedessen ist jede Analyse der Wirtschaft als analytisch abgrenzbare und von ihrem sozio-kulturellen und politischen Kontext isolierte Einheit von vornherein fehlerhaft.,"[""Infolgedessen "", ""ist "", ""jede "", ""Analyse "", ""der "", ""Wirtschaft "", ""als "", ""analytisch "", ""abgrenzbare "", ""und "", ""von "", ""ihrem "", ""sozio-kulturellen "", ""und "", ""politischen "", ""Kontext "", ""isolierte "", ""Einheit "", ""von "", ""vornherein "", ""fehlerhaft"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]","[""von vornherein""]",german
"Der PC Energie Bericht ergab, dass fast die Hälfte aller beruflich genutzten PCs in den USA über Nacht regelmäßig nicht ausgeschaltet werden.","[""Der "", ""PC "", ""Energie "", ""Bericht "", ""ergab"", "", "", ""dass "", ""fast "", ""die "", ""H\u00e4lfte "", ""aller "", ""beruflich "", ""genutzten "", ""PCs "", ""in "", ""den "", ""USA "", ""\u00fcber "", ""Nacht "", ""regelm\u00e4\u00dfig "", ""nicht "", ""ausgeschaltet "", ""werden"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],german
"2002 erklärte sie, die palästinensischen Terroranschläge seien zwar nicht zu rechtfertigen, doch habe die israelische Politik ihnen „den Weg geebnet“.","[""2002 "", ""erkl\u00e4rte "", ""sie"", "", "", ""die "", ""pal\u00e4stinensischen "", ""Terroranschl\u00e4ge "", ""seien "", ""zwar "", ""nicht "", ""zu "", ""rechtfertigen"", "", "", ""doch "", ""habe "", ""die "", ""israelische "", ""Politik "", ""ihnen "", ""\u201e"", ""den "", ""Weg "", ""geebnet"", ""\u201c"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]","[""den Weg geebnet""]",german
"Aber in der Sichtweise dieser Verfassung und vor den Augen des Gesetzes gibt es in diesem Land keine überlegene, dominierende, herrschende Klasse von Bürgern.","[""Aber "", ""in "", ""der "", ""Sichtweise "", ""dieser "", ""Verfassung "", ""und "", ""vor "", ""den "", ""Augen "", ""des "", ""Gesetzes "", ""gibt "", ""es "", ""in "", ""diesem "", ""Land "", ""keine "", ""\u00fcberlegene"", "", "", ""dominierende"", "", "", ""herrschende "", ""Klasse "", ""von "", ""B\u00fcrgern"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""den Augen des Gesetzes""]",german
"Das ist die Zuchtrute Gottes, mit der Moses sein Volk in Schach gehalten hat!","[""Das "", ""ist "", ""die "", ""Zuchtrute "", ""Gottes"", "", "", ""mit "", ""der "", ""Moses "", ""sein "", ""Volk "", ""in "", ""Schach "", ""gehalten "", ""hat"", ""!""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]","[""in Schach gehalten""]",german
Behörden und die Schwulenbewegung arbeiteten erfolgreich Hand in Hand.,"[""Beh\u00f6rden "", ""und "", ""die "", ""Schwulenbewegung "", ""arbeiteten "", ""erfolgreich "", ""Hand "", ""in "", ""Hand"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""Hand in Hand""]",german
"An dieser ist ein Rettungswagen rund um die Uhr einsatzbereit, der auch außerhalb des Flughafenbereichs für die normale Notfallrettung eingesetzt wird.","[""An "", ""dieser "", ""ist "", ""ein "", ""Rettungswagen "", ""rund "", ""um "", ""die "", ""Uhr "", ""einsatzbereit"", "", "", ""der "", ""auch "", ""au\u00dferhalb "", ""des "", ""Flughafenbereichs "", ""f\u00fcr "", ""die "", ""normale "", ""Notfallrettung "", ""eingesetzt "", ""wird"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""rund um die Uhr""]",german
"Hier wird nun deutlich, dass Marek nicht tot ist, sondern mit den anderen gemeinsame Sache gemacht hat.","[""Hier "", ""wird "", ""nun "", ""deutlich"", "", "", ""dass "", ""Marek "", ""nicht "", ""tot "", ""ist"", "", "", ""sondern "", ""mit "", ""den "", ""anderen "", ""gemeinsame "", ""Sache "", ""gemacht "", ""hat"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]","[""gemeinsame Sache gemacht""]",german
Alice und die Ärzte pflegten die Familie rund um die Uhr.,"[""Alice "", ""und "", ""die "", ""\u00c4rzte "", ""pflegten "", ""die "", ""Familie "", ""rund "", ""um "", ""die "", ""Uhr"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]","[""rund um die Uhr""]",german
"Zwischen den beiden Detekteien entwickelt sich eine Art Konkurrenzkampf, da sie sich trotz aller Freundschaft immer wieder gewollt oder ungewollt in die Quere kommen.","[""Zwischen "", ""den "", ""beiden "", ""Detekteien "", ""entwickelt "", ""sich "", ""eine "", ""Art "", ""Konkurrenzkampf"", "", "", ""da "", ""sie "", ""sich "", ""trotz "", ""aller "", ""Freundschaft "", ""immer "", ""wieder "", ""gewollt "", ""oder "", ""ungewollt "", ""in "", ""die "", ""Quere "", ""kommen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]","[""in die Quere kommen""]",german
"Als die Beziehung ans Licht kommt, gibt es zunächst Probleme, die mit Christians Hilfe aber wieder beigelegt werden können.","[""Als "", ""die "", ""Beziehung "", ""ans "", ""Licht "", ""kommt"", "", "", ""gibt "", ""es "", ""zun\u00e4chst "", ""Probleme"", "", "", ""die "", ""mit "", ""Christians "", ""Hilfe "", ""aber "", ""wieder "", ""beigelegt "", ""werden "", ""k\u00f6nnen"", "".""]","[""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""ans Licht kommt""]",german
"Eine Generation, die ein paar Dinge geändert hat, aber auch viele andere Arten von Veränderungen erfuhr, über die sie keine Kontrolle hatte, so dass einige von uns auf der Strecke bleiben mussten.","[""Eine "", ""Generation"", "", "", ""die "", ""ein "", ""paar "", ""Dinge "", ""ge\u00e4ndert "", ""hat"", "", "", ""aber "", ""auch "", ""viele "", ""andere "", ""Arten "", ""von "", ""Ver\u00e4nderungen "", ""erfuhr"", "", "", ""\u00fcber "", ""die "", ""sie "", ""keine "", ""Kontrolle "", ""hatte"", "", "", ""so "", ""dass "", ""einige "", ""von "", ""uns "", ""auf "", ""der "", ""Strecke "", ""bleiben "", ""mussten"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0]","[""auf der Strecke bleiben""]",german
"Obwohl Zhang nach den 1940er Jahren intellektuell mundtot gemacht wurde, war er bis dahin ein außergewöhnlich produktiver Schreiber.","[""Obwohl "", ""Zhang "", ""nach "", ""den "", ""1940er "", ""Jahren "", ""intellektuell "", ""mundtot "", ""gemacht "", ""wurde"", "", "", ""war "", ""er "", ""bis "", ""dahin "", ""ein "", ""au\u00dfergew\u00f6hnlich "", ""produktiver "", ""Schreiber"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""mundtot gemacht""]",german
"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.","[""Die "", ""Praxis "", ""scheint "", ""um "", ""1847 "", ""in "", ""Ungnade "", ""gefallen "", ""zu "", ""sein"", "", "", ""als "", ""Dewees "", ""vorschlug"", "", "", ""dass "", ""eine "", ""Krankenschwester "", ""oder "", ""ein "", ""anderer "", ""Fachmann "", ""f\u00fcr "", ""diese "", ""Aufgabe "", ""eher "", ""geeignet "", ""sei "", ""als "", ""ein "", ""Tier"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""in Ungnade gefallen""]",german
In jüngster Zeit werden ab und zu auch die Grünen eingeladen.,"[""In "", ""j\u00fcngster "", ""Zeit "", ""werden "", ""ab "", ""und "", ""zu "", ""auch "", ""die "", ""Gr\u00fcnen "", ""eingeladen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]","[""ab und zu""]",german
Während seiner langen Jahre im Kongress brach er ab und zu mit seinen Südstaatenkollegen und folgte seinem eigenen Gewissen.,"[""W\u00e4hrend "", ""seiner "", ""langen "", ""Jahre "", ""im "", ""Kongress "", ""brach "", ""er "", ""ab "", ""und "", ""zu "", ""mit "", ""seinen "", ""S\u00fcdstaatenkollegen "", ""und "", ""folgte "", ""seinem "", ""eigenen "", ""Gewissen"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""ab und zu""]",german
"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.","[""Schlechter "", ""ging "", ""es "", ""da "", ""den "", ""Hilfskr\u00e4ften"", "", "", ""die "", ""oft "", ""nur "", ""von "", ""der "", ""Hand "", ""in "", ""den "", ""Mund "", ""lebten"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0]","[""von der Hand in den Mund lebten""]",german
"Ein bemerkenswert früher Versuch, eine zoophile soziale Struktur zu schaffen, die sich auf den sozialen und psychologischen Support spezialisierte, war die Newsgroup soc.support.zoophilia, welche 1994 vorgeschlagen wurde, aber um ein Haar an der benötigten 2/3-Mehrheit scheiterte.","[""Ein "", ""bemerkenswert "", ""fr\u00fcher "", ""Versuch"", "", "", ""eine "", ""zoophile "", ""soziale "", ""Struktur "", ""zu "", ""schaffen"", "", "", ""die "", ""sich "", ""auf "", ""den "", ""sozialen "", ""und "", ""psychologischen "", ""Support "", ""spezialisierte"", "", "", ""war "", ""die "", ""Newsgroup "", ""soc.support.zoophilia"", "", "", ""welche "", ""1994 "", ""vorgeschlagen "", ""wurde"", "", "", ""aber "", ""um "", ""ein "", ""Haar "", ""an "", ""der "", ""ben\u00f6tigten "", ""2"", ""/"", ""3-Mehrheit "", ""scheiterte"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[""um ein Haar""]",german
Dabei blieb er allerdings politisch eher ein Hinterbänkler und blieb stets ein Dorn im Auge der Ministerialbürokratie.,"[""Dabei "", ""blieb "", ""er "", ""allerdings "", ""politisch "", ""eher "", ""ein "", ""Hinterb\u00e4nkler "", ""und "", ""blieb "", ""stets "", ""ein "", ""Dorn "", ""im "", ""Auge "", ""der "", ""Ministerialb\u00fcrokratie"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0]","[""Dorn im Auge""]",german
Der Bahnhof war aber nicht nur von feindlichen Angriffen betroffen: Am 12.September 1944 beschädigte eine außer Kontrolle geratene und abstürzende V1 den Bahnhof.,"[""Der "", ""Bahnhof "", ""war "", ""aber "", ""nicht "", ""nur "", ""von "", ""feindlichen "", ""Angriffen "", ""betroffen"", "": "", ""Am "", ""12."", ""September "", ""1944 "", ""besch\u00e4digte "", ""eine "", ""au\u00dfer "", ""Kontrolle "", ""geratene "", ""und "", ""abst\u00fcrzende "", ""V1 "", ""den "", ""Bahnhof"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0]","[""au\u00dfer Kontrolle geratene""]",german
"Die Output-Signale hängen nicht nur von der Kombination der Inputs, sondern auch von der richtigen Reihenfolge der Inputs ab: Mit anderen Worten, das richtige password muss eingegeben werden.","[""Die "", ""Output-Signale "", ""h\u00e4ngen "", ""nicht "", ""nur "", ""von "", ""der "", ""Kombination "", ""der "", ""Inputs"", "", "", ""sondern "", ""auch "", ""von "", ""der "", ""richtigen "", ""Reihenfolge "", ""der "", ""Inputs "", ""ab"", "": "", ""Mit "", ""anderen "", ""Worten"", "", "", ""das "", ""richtige "", ""password "", ""muss "", ""eingegeben "", ""werden"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[""Mit anderen Worten""]",german
"Im Juli desselben Jahres nahm sie Abschied von ihrem Heimatsort, ging nach Yan’an und widmete sich von ganzem Herzen der Sache des Kriegs gegen die japanische Aggression.","[""Im "", ""Juli "", ""desselben "", ""Jahres "", ""nahm "", ""sie "", ""Abschied "", ""von "", ""ihrem "", ""Heimatsort"", "", "", ""ging "", ""nach "", ""Yan"", ""\u2019"", ""an "", ""und "", ""widmete "", ""sich "", ""von "", ""ganzem "", ""Herzen "", ""der "", ""Sache "", ""des "", ""Kriegs "", ""gegen "", ""die "", ""japanische "", ""Aggression"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""von ganzem Herzen""]",german
"Diese Verordnung veränderte den Status der Häuptlinge, also der traditionellen indigenen Stammesführer, von Grund auf.","[""Diese "", ""Verordnung "", ""ver\u00e4nderte "", ""den "", ""Status "", ""der "", ""H\u00e4uptlinge"", "", "", ""also "", ""der "", ""traditionellen "", ""indigenen "", ""Stammesf\u00fchrer"", "", "", ""von "", ""Grund "", ""auf"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""von Grund auf""]",german
"Zu dem Zeitpunkt erlaubten NZPO2 und ich, den Schnaps auszugeben, der den Absturz überstanden hatte, und wir feierten eine Party (makaber, aber wir mussten einfach Dampf ablassen).","[""Zu "", ""dem "", ""Zeitpunkt "", ""erlaubten "", ""NZPO2 "", ""und "", ""ich"", "", "", ""den "", ""Schnaps "", ""auszugeben"", "", "", ""der "", ""den "", ""Absturz "", ""\u00fcberstanden "", ""hatte"", "", "", ""und "", ""wir "", ""feierten "", ""eine "", ""Party "", ""("", ""makaber"", "", "", ""aber "", ""wir "", ""mussten "", ""einfach "", ""Dampf "", ""ablassen"", "")"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]","[""Dampf ablassen""]",german
"Ein begleitender menschlicher Fahrer mit einem ""roten Knopf"" garantierte, dass das Fahrzeug nicht außer Kontrolle geraten und eine Gefahr für die Öffentlichkeit werden konnte.","[""Ein "", ""begleitender "", ""menschlicher "", ""Fahrer "", ""mit "", ""einem "", ""\"""", ""roten "", ""Knopf"", ""\"" "", ""garantierte"", "", "", ""dass "", ""das "", ""Fahrzeug "", ""nicht "", ""au\u00dfer "", ""Kontrolle "", ""geraten "", ""und "", ""eine "", ""Gefahr "", ""f\u00fcr "", ""die "", ""\u00d6ffentlichkeit "", ""werden "", ""konnte"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""au\u00dfer Kontrolle geraten""]",german
"In den letzten 20 Jahren seines Bestehens war das Taunusheim das Zuhause von bis zu 18 Kindern und Jugendlichen im Alter von 6 bis 18 Jahren, welche rund um die Uhr in zwei Gruppen betreut wurden.","[""In "", ""den "", ""letzten "", ""20 "", ""Jahren "", ""seines "", ""Bestehens "", ""war "", ""das "", ""Taunusheim "", ""das "", ""Zuhause "", ""von "", ""bis "", ""zu "", ""18 "", ""Kindern "", ""und "", ""Jugendlichen "", ""im "", ""Alter "", ""von "", ""6 "", ""bis "", ""18 "", ""Jahren"", "", "", ""welche "", ""rund "", ""um "", ""die "", ""Uhr "", ""in "", ""zwei "", ""Gruppen "", ""betreut "", ""wurden"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]","[""rund um die Uhr""]",german
"Pollo und Monica holen den lebenden Feuerwehrmann heraus, der erklärt, dass einige Häftlinge versuchten, den Feuerwehrwagen zu übernehmen, weshalb er außer Kontrolle geriet.","[""Pollo "", ""und "", ""Monica "", ""holen "", ""den "", ""lebenden "", ""Feuerwehrmann "", ""heraus"", "", "", ""der "", ""erkl\u00e4rt"", "", "", ""dass "", ""einige "", ""H\u00e4ftlinge "", ""versuchten"", "", "", ""den "", ""Feuerwehrwagen "", ""zu "", ""\u00fcbernehmen"", "", "", ""weshalb "", ""er "", ""au\u00dfer "", ""Kontrolle "", ""geriet"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]","[""au\u00dfer Kontrolle geriet""]",german
"Die Geschichte von Rhampsinit wird heute als eine Art Satire bewertet, in denen ein König von einem bescheidenen Bürger zum Narren gehalten wird.","[""Die "", ""Geschichte "", ""von "", ""Rhampsinit "", ""wird "", ""heute "", ""als "", ""eine "", ""Art "", ""Satire "", ""bewertet"", "", "", ""in "", ""denen "", ""ein "", ""K\u00f6nig "", ""von "", ""einem "", ""bescheidenen "", ""B\u00fcrger "", ""zum "", ""Narren "", ""gehalten "", ""wird"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-IDIOM"", ""I-IDIOM"", ""I-IDIOM"", ""O"", ""O""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]","[""zum Narren gehalten""]",german
